"Name","gamma","learning_rate","lr","eps_decay","epsilon_decay","eval/success_rate","eval_eps","log_every","reward_mode","visual_eps","train/loss","debug/max_td_error","debug/mean_q_value","train/reward_totale","train/reward_vlm_cumulativo","train/vlm_progress_finale","train/vlm_stage_progress_finale","train/vlm_progress"
"DDQN_6x6_noreward","0.99","0.0001","","","0.9995","0.89","","","","","0.0004107543427380733","0.30777013301849365","0.7878221869468689","","","","",""
"DDQN_8x8_noreward","0.99","0.00009","","","0.99975","","","","","","0.0016088827596831834","0.14337486028671265","0.39435556530952454","","","","",""
"qlearning_16x16_noreward","0.99","0.1","","","0.99999","0.22","","","","","","","","","","","",""
"qlearning_8x8_noreward","0.99","0.1","","","0.99999","0.55","","","","","","","","","","","",""
"qlearning_5x5","0.99","0.1","","","0.999975","0.96","","","","","","","","","","","",""
"qlearning_16x16","0.99","0.1","","","0.99999","0.89","","","","","","","","","","","",""
"qlearning_8x8","0.99","0.1","","","0.99999","0.96","","","","","","","","","","","",""
"qlearning_6x6","0.99","0.1","","","0.99997","0.98","","","","","","","","","","","",""
"DDQN_8x8","0.99","0.00008","","","0.99975","0.71","","","","","0.0065718939586076885","0.6170499324798584","3.837761402130127","","","","",""
"DDQN_6x6","0.99","0.00009","","","0.99975","0.94","","","","","0.005181371525395662","0.5118041038513184","3.5898709297180176","","","","",""
"DDQN_5x5","0.99","0.0001","","","0.9995","1","","","","","0.0007701334543526173","0.21231532096862793","3.4223122596740723","","","","",""